land,Site,fert,seeds,strength,cvalue,zvalue,d,AllVisits,OtherDiptera,Hymenoptera,Lepidoptera,Coleoptera,Syrphidae,Seedvar,Fertvar,richness,Latitude,Longitude
avocado,avosite1,0.44,11.41,0.026,0,-0.145,0.169,6,0,0,0,0,6,47.77659,0.04820656,1,-17.220458,145.508364
avocado,avosite2,0.38,10.77,2.595,0.145,1.01,0.606,50,0,12,0,9,29,51.66277,0.05020651,5,-17.188103,145.484467
avocado,avosite3,0.75,11.1,0.447,0,-0.991,0.405,32,0,6,0,0,26,48.82613,0.06281792,2,-17.247175,145.514497
avocado,avosite4,0.55,5.97,2.873,0.329,0.975,0.484,106,0,8,0,0,90,20.3872,0.07550597,5,-17.186803,145.46785
avocado,avosite5,0.27,7.28,0.711,0.071,-0.707,0.457,19,0,7,0,0,12,35.02067,0.06572538,3,-17.269389,145.529442
dairy,dairysite1,0.58,14.25,7.764,0.122,0,0.701,158,71,0,12,19,56,49.70469,0.04583153,10,-17.339669,145.546789
dairy,dairysite2,0.46,11.83,3.778,0.057,0,0.643,77,53,0,0,0,24,33.70666,0.08200601,6,-17.305508,145.538836
dairy,dairysite3,0.54,14.35,4.21,0.298,0.707,0.569,84,0,32,12,0,33,43.39221,0.06947418,7,-17.254425,145.572761
dairy,dairysite5,0.5,10.02,5.87,0.083,0,0.615,181,99,0,12,0,54,62.51775,0.04746508,9,-17.245069,145.565433
forest,forestsite1,0.15,3.87,1.052,0,-0.377,0.469,18,6,0,0,0,12,11.36092,0.06469572,2,-17.284675,145.562514
forest,forestsite2,0.15,5.07,1.5,0.165,-0.059,0.507,25,6,6,0,6,7,21.53691,0.04375346,4,-17.298692,145.497444
forest,forestsite3,0.14,4.21,1,0,0,1,8,8,0,0,0,0,16.48901,0.007105845,1,-17.265606,145.565547
forest,forestsite4,0.17,2.59,1,0,-0.707,1,6,6,0,0,0,0,8.067736,0.03613753,1,-17.232953,145.480028
forest,forestsite5,0.16,4.81,2.158,0.136,0,0.834,18,6,6,0,0,6,24.7241,0.05117025,3,-17.234425,145.515044
forest,forestsite6,0.48,8.98,1.666,0.52,0.707,0.53,72,16,6,0,29,21,41.06806,0.03913739,5,-17.208461,145.511611
potato,potsite1,0.66,13.12,2.471,0.077,-0.22,0.544,47,13,6,0,0,28,33.09655,0.06830849,5,-17.236903,145.502575
potato,potsite2,0.59,13.84,3.49,0.25,0.988,0.702,49,12,12,12,13,6,34.11608,0.09951527,7,-17.286192,145.508494
potato,potsite3,0.44,15.99,3.349,0.518,0.891,0.436,99,9,12,12,0,66,37.98482,0.06156013,8,-17.3379,145.527142
potato,potsite4,0.67,15.74,3.212,0,0.5322,0.8343,43,7,0,0,0,36,43.01981,0.092596,5,-17.196136,145.489656
potato,potsite5,0.58,15.52,1.83,0.366,-1.3,0.534,44,0,12,0,0,32,40.30881,0.04373376,4,-17.204139,145.501925
