Land Use,Species
Avocado,Allograpta sp. 1
Avocado,Amegilla sp.
Avocado,Chrysosoma sp. female
Avocado,Episyrphus sp. 2
Avocado,Hemiptera sp. 1
Avocado,Homalictus sp
Avocado,Sphaerophoria sp. 1
Avocado,Syrphidae sp. 2
Avocado,Tetragonula
Avocado,Vespid sp. 1
Dairy,Apis mellifera
Dairy,calliphoridae sp. 1
Dairy,calliphoridae sp. 2
Dairy,calliphoridae sp. 3
Dairy,calliphoridae sp. 4
Dairy,calliphoridae sp. 5
Dairy,calliphoridae sp. 6
Dairy,Campsomeris sp.
Dairy,Chamaemyiidae sp.
Dairy,Coelophora inaequalis
Dairy,hesperiidae sp.
Dairy,Homalictus sp.
Dairy,Larra sp.  
Dairy,Lauxaniidae sp.
Dairy,Lepidoptera sp. 1
Dairy,Muscidae sp 1
Dairy,Muscidae sp 3
Dairy,Pieris rapae
Dairy,Sepsidae2
Dairy,Sepsidae sp. 1
Dairy,Sepsidae sp. 3
Dairy,Sphaerophoria sp. 1
Dairy,Tachinidae sp 2
Dairy,Tachinidae sp 3
Dairy,Xanthopimpla australia
Forest,Allograpta sp. 1
Forest,Amegilla sp.
Forest,Apis mellifera
Forest,calliphoridae sp. 4
Forest,calliphoridae sp. 6
Forest,Chrysosoma sp. female
Forest,Culicidae sp.
Forest,epydridae sp.
Forest,Halictidae bee
Forest,Hemiptera sp. 1
Forest,Homalictus sp
Forest,Muscidae sp 2
Forest,Syrphidae sp. 5
Forest,Tachinidae 4
Forest,Tipulidae sp.
Potato,Allograpta sp. 1
Potato,Apis mellifera
Potato,Austrosciapus bifarius 
Potato,Echthromorpha agrestoria
Potato,Episyrphus sp. 1
Potato,Halictidae bee
Potato,hesperiidae sp.
Potato,Homalictus sp
Potato,Lauxaniidae sp.
Potato,Monolepta australis
Potato,Pieris rapae
Potato,Rhiniinae sp.
Potato,Sphaerophoria sp. 1
Potato,Stratiomyidae
Potato,Syrphidae sp. 1
Potato,Syrphidae sp. 3
Potato,Syrphidae sp. 4
Potato,Tachinidae sp 1
Potato,Tellervo zoilus
