distance,cvalue,d,zvalue
4.3912763,0.145,0.437,1.729
3.0279074,0,0.236,0.106
5.696019,0.329,0.315,2.087
5.8608868,0.071,0.288,0.315
13.811471,0.122,0.532,1.022
9.9547801,0.057,0.474,1.4
7.8125447,0.298,0.4,1.729
6.6526286,0.083,0.446,1.022
9.1470922,0,0.3,0.91
8.7358416,0.165,0.338,0.315
7.8707107,0,0.831,1.022
3.3158455,0,0.831,0.112
1.7012071,0.136,0.665,1.022
1.3719095,0.52,0.361,1.022
1.9213194,0.077,0.375,0.692
7.274928,0.25,0.533,1.778
13.150036,0.518,0.267,2.007
3.347436,0,0.6653,2.145
1.9315493,0.366,0.365,0.229
7.2761346,0.145,0.201,1.623
1.7735517,0.184,0.122,0.358
10.188701,0.074,0.149,1.414
18.03578,0.023,0.095,0.707
14.221808,0.088,0.037,0.329
11.91911,0.153,0.037,0
10.672839,0.062,0.009,0.707
13.532401,0.145,0.137,0.819
12.316658,0.02,0.099,1.414
12.162851,0.145,0.394,0.707
4.9860255,0.145,0.394,1.841
6.0711656,0.009,0.228,0.707
3.6624141,0.375,0.076,0.707
5.7339386,0.068,0.062,1.037
11.152379,0.105,0.096,0.049
17.188202,0.373,0.17,0.278
1.0464481,0.145,0.2283,0.416
2.5687389,0.221,0.072,1.5
8.3221641,0.329,0.079,1.981
2.9274118,0.071,0.052,0.209
10.796939,0.122,0.296,0.916
6.9552376,0.057,0.238,1.294
6.2477162,0.298,0.164,1.623
5.4218448,0.083,0.21,0.916
6.5798222,0,0.064,0.804
5.9828933,0.165,0.102,0.209
5.7992306,0,0.595,0.916
3.9893807,0,0.595,0.218
1.4122652,0.136,0.429,0.916
4.2955266,0.52,0.125,0.916
1.7029068,0.077,0.139,0.586
4.3650213,0.25,0.297,1.672
10.130363,0.518,0.031,1.901
6.2359423,0,0.4293,2.039
4.9470014,0.366,0.129,0.123
11.244998,0.258,0.027,1.772
18.885951,0.207,0.217,1.065
15.151811,0.272,0.159,0.687
13.435673,0.031,0.085,0.358
12.219257,0.246,0.131,1.065
14.787949,0.329,0.015,1.177
